is_high_risk,A19,gender,education,B3I,incomegpnew,B3A__2,B3A__3,mobile_money_usage,mobile_bank_usage,infgp_usage,savings_usage
0,59.0,2.0,4.0,13000.0,5.0,1.0,0.0,1.0,3.0,1.0,1.0
0,43.0,2.0,4.0,6000.0,4.0,1.0,0.0,1.0,3.0,1.0,1.0
0,72.0,1.0,2.0,1000.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0
0,22.0,1.0,2.0,2500.0,2.0,0.0,1.0,1.0,3.0,3.0,1.0
1,24.0,1.0,3.0,6000.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0
1,50.0,1.0,2.0,4000.0,3.0,0.0,1.0,1.0,3.0,3.0,3.0
0,31.0,1.0,2.0,7000.0,4.0,0.0,1.0,1.0,3.0,3.0,1.0
0,38.0,1.0,2.0,3000.0,2.0,0.0,0.0,1.0,1.0,3.0,1.0
0,31.0,2.0,2.0,3000.0,2.0,0.0,0.0,1.0,3.0,3.0,1.0
0,62.0,2.0,1.0,,9.0,0.0,0.0,3.0,3.0,1.0,1.0
1,35.0,1.0,2.0,400.0,1.0,1.0,0.0,1.0,3.0,3.0,1.0
0,35.0,2.0,1.0,20000.0,5.0,0.0,0.0,3.0,3.0,3.0,3.0
1,39.0,1.0,2.0,15000.0,5.0,0.0,1.0,1.0,3.0,3.0,1.0
0,53.0,2.0,3.0,4000.0,3.0,0.0,0.0,1.0,3.0,1.0,1.0
0,17.0,1.0,3.0,1000.0,1.0,0.0,1.0,3.0,3.0,3.0,1.0
0,40.0,2.0,3.0,500.0,1.0,0.0,0.0,1.0,3.0,3.0,1.0
0,22.0,1.0,4.0,1000.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0
0,75.0,2.0,1.0,,9.0,0.0,0.0,3.0,3.0,3.0,2.0
1,38.0,1.0,2.0,10000.0,4.0,0.0,1.0,1.0,2.0,3.0,1.0
1,35.0,2.0,2.0,2000.0,2.0,0.0,1.0,1.0,3.0,1.0,1.0
0,23.0,1.0,2.0,,9.0,0.0,0.0,3.0,3.0,3.0,3.0
1,25.0,1.0,2.0,5000.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0
1,29.0,1.0,3.0,1500.0,2.0,0.0,1.0,1.0,3.0,3.0,1.0
0,30.0,1.0,1.0,25000.0,6.0,0.0,1.0,1.0,3.0,3.0,1.0
0,31.0,1.0,3.0,5000.0,3.0,0.0,1.0,1.0,2.0,3.0,1.0
0,20.0,1.0,1.0,4000.0,3.0,0.0,0.0,3.0,3.0,3.0,3.0
0,38.0,2.0,2.0,5000.0,3.0,0.0,1.0,1.0,1.0,3.0,1.0
1,33.0,1.0,4.0,13000.0,5.0,1.0,0.0,1.0,1.0,3.0,2.0
1,58.0,2.0,3.0,1500.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0
0,31.0,1.0,2.0,4000.0,3.0,0.0,0.0,1.0,2.0,1.0,1.0
0,34.0,2.0,2.0,3000.0,2.0,0.0,0.0,1.0,3.0,3.0,1.0
0,64.0,2.0,3.0,,9.0,0.0,0.0,1.0,3.0,1.0,1.0
0,52.0,2.0,2.0,3000.0,2.0,0.0,0.0,1.0,3.0,3.0,1.0
1,69.0,1.0,2.0,2000.0,2.0,0.0,0.0,1.0,3.0,1.0,1.0
1,48.0,1.0,1.0,2000.0,2.0,0.0,0.0,1.0,3.0,3.0,1.0
1,36.0,1.0,2.0,3000.0,2.0,0.0,1.0,1.0,3.0,3.0,2.0
0,63.0,1.0,3.0,15000.0,5.0,0.0,1.0,1.0,3.0,3.0,1.0
1,58.0,2.0,2.0,2500.0,2.0,0.0,0.0,1.0,1.0,3.0,2.0
1,36.0,1.0,3.0,2000.0,2.0,0.0,1.0,1.0,1.0,3.0,1.0
1,32.0,2.0,3.0,5000.0,3.0,0.0,0.0,1.0,3.0,3.0,1.0
0,46.0,1.0,2.0,,9.0,0.0,1.0,3.0,3.0,3.0,3.0
0,16.0,2.0,3.0,8000.0,4.0,0.0,0.0,3.0,3.0,3.0,3.0
1,45.0,1.0,3.0,40000.0,6.0,1.0,0.0,1.0,1.0,3.0,1.0
1,17.0,2.0,3.0,7000.0,4.0,0.0,0.0,1.0,3.0,2.0,1.0
0,67.0,2.0,2.0,2000.0,2.0,0.0,0.0,1.0,3.0,3.0,2.0
1,30.0,2.0,1.0,3000.0,2.0,0.0,0.0,1.0,3.0,3.0,1.0
0,25.0,2.0,1.0,8000.0,4.0,0.0,0.0,1.0,3.0,3.0,2.0
1,35.0,2.0,2.0,4000.0,3.0,0.0,0.0,1.0,3.0,1.0,1.0
0,21.0,1.0,3.0,8000.0,4.0,1.0,0.0,1.0,1.0,3.0,1.0
0,41.0,1.0,2.0,10000.0,4.0,0.0,0.0,1.0,3.0,3.0,1.0
0,39.0,1.0,2.0,30000.0,6.0,1.0,0.0,1.0,1.0,3.0,1.0
0,67.0,2.0,2.0,2000.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
0,17.0,1.0,2.0,100.0,1.0,0.0,0.0,3.0,3.0,3.0,3.0
0,27.0,2.0,1.0,6000.0,4.0,0.0,0.0,3.0,3.0,3.0,1.0
0,85.0,1.0,2.0,10000.0,4.0,0.0,0.0,1.0,3.0,3.0,1.0
0,29.0,2.0,3.0,8000.0,4.0,0.0,1.0,3.0,3.0,2.0,1.0
1,45.0,2.0,2.0,3000.0,2.0,0.0,1.0,3.0,3.0,1.0,1.0
1,26.0,1.0,3.0,7500.0,4.0,0.0,1.0,1.0,3.0,3.0,1.0
0,46.0,1.0,2.0,3000.0,2.0,0.0,1.0,1.0,3.0,1.0,1.0
0,47.0,1.0,1.0,2000.0,2.0,0.0,0.0,1.0,3.0,3.0,2.0
1,43.0,1.0,2.0,5000.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0
0,28.0,1.0,2.0,4000.0,3.0,0.0,0.0,1.0,3.0,1.0,1.0
0,21.0,2.0,3.0,500.0,1.0,0.0,0.0,3.0,3.0,3.0,1.0
0,25.0,1.0,3.0,10000.0,4.0,0.0,1.0,1.0,3.0,1.0,1.0
1,56.0,1.0,2.0,1500.0,2.0,0.0,0.0,1.0,3.0,3.0,1.0
0,54.0,1.0,3.0,15000.0,5.0,1.0,0.0,1.0,1.0,3.0,1.0
1,30.0,2.0,2.0,4000.0,3.0,0.0,1.0,1.0,3.0,3.0,2.0
0,59.0,2.0,2.0,2500.0,2.0,0.0,1.0,1.0,3.0,1.0,1.0
1,49.0,1.0,2.0,5000.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0
0,23.0,1.0,3.0,4000.0,3.0,0.0,1.0,2.0,2.0,3.0,1.0
1,19.0,2.0,4.0,40000.0,6.0,0.0,0.0,1.0,3.0,3.0,3.0
0,22.0,2.0,3.0,,9.0,0.0,0.0,3.0,3.0,3.0,2.0
0,50.0,2.0,3.0,4000.0,3.0,1.0,0.0,1.0,3.0,1.0,1.0
1,24.0,2.0,2.0,6000.0,4.0,0.0,1.0,1.0,3.0,3.0,3.0
0,18.0,1.0,2.0,4000.0,3.0,0.0,1.0,1.0,3.0,1.0,1.0
0,26.0,1.0,4.0,5500.0,4.0,0.0,1.0,1.0,2.0,3.0,1.0
1,67.0,2.0,1.0,2000.0,2.0,0.0,0.0,3.0,3.0,1.0,1.0
0,31.0,1.0,2.0,1500.0,2.0,0.0,0.0,1.0,3.0,3.0,1.0
0,19.0,1.0,3.0,500.0,1.0,0.0,0.0,3.0,3.0,3.0,2.0
0,53.0,2.0,2.0,3000.0,2.0,0.0,0.0,3.0,3.0,3.0,3.0
0,36.0,1.0,3.0,10000.0,4.0,0.0,1.0,1.0,1.0,3.0,1.0
0,22.0,1.0,2.0,11000.0,5.0,0.0,0.0,1.0,3.0,3.0,1.0
0,22.0,2.0,3.0,16000.0,5.0,1.0,0.0,1.0,3.0,3.0,1.0
0,31.0,2.0,2.0,3000.0,2.0,0.0,0.0,1.0,3.0,1.0,1.0
1,60.0,2.0,2.0,2000.0,2.0,0.0,0.0,1.0,3.0,1.0,1.0
0,17.0,1.0,2.0,,9.0,0.0,0.0,3.0,3.0,3.0,3.0
0,16.0,1.0,2.0,,9.0,0.0,1.0,3.0,3.0,3.0,3.0
0,39.0,2.0,2.0,,9.0,0.0,1.0,3.0,3.0,3.0,1.0
0,24.0,1.0,4.0,28000.0,6.0,1.0,0.0,1.0,3.0,1.0,1.0
